,id,location,gender,department,study level,total_duration,most_used_group
3196,5452,2,1.0,4.0,1.0,3794.0,Lasercutter
3197,5453,2,1.0,10.0,1.0,1647.0,Toolbox
3198,5456,1,0.0,9.0,-1.0,1779.0,Lasercutter
3199,5458,2,1.0,9.0,0.0,830.0,Dirt & Dust
3200,5459,2,1.0,9.0,0.0,1906.0,Dirt & Dust
3201,5461,2,1.0,9.0,0.0,8193.0,Dirt & Dust
3202,5462,2,1.0,8.0,-1.0,632550.0,3D-Printer
3203,5464,2,1.0,8.0,1.0,38575.0,Toolbox
3204,5465,1,1.0,11.0,1.0,10970.0,3D-Printer
3205,5470,2,1.0,12.0,0.0,222675.0,Toolbox
3206,5471,2,0.0,12.0,0.0,1641895.0,3D-Printer
3207,5472,1,0.0,12.0,0.0,13069.0,Other
3208,5473,2,1.0,12.0,0.0,1925.0,Toolbox
3209,5478,1,1.0,12.0,0.0,323335.0,3D-Printer
3210,5479,2,1.0,12.0,0.0,37336.0,Toolbox
3211,5483,2,1.0,9.0,1.0,160983.0,3D-Printer
3212,5485,2,1.0,9.0,0.0,46059.0,Toolbox
3213,5487,1,1.0,12.0,0.0,107639.0,3D-Printer
3214,5488,2,0.0,12.0,1.0,509490.0,Toolbox
3215,5489,2,1.0,8.0,1.0,29243.0,Toolbox
3216,5490,2,0.0,7.0,0.0,57128.0,3D-Printer
3217,5491,1,1.0,9.0,1.0,261637.0,3D-Printer
3218,5492,1,1.0,15.0,0.0,179729.0,3D-Printer
3219,5493,1,0.0,9.0,1.0,148024.0,3D-Printer
3220,5494,2,1.0,12.0,1.0,145677.0,3D-Printer
3221,5495,1,1.0,9.0,1.0,32961.0,3D-Printer
3222,5496,2,0.0,3.0,1.0,228833.0,3D-Printer
3223,5498,2,1.0,12.0,0.0,7215.0,Lasercutter
3224,5504,2,1.0,12.0,0.0,736382.0,Toolbox
3225,5505,2,1.0,8.0,1.0,5502.0,Lasercutter
3226,5506,2,1.0,10.0,0.0,15584.0,Other
3227,5508,1,1.0,12.0,0.0,98826.0,Other
3228,5514,2,1.0,1.0,0.0,8007.0,Lasercutter
3229,5516,2,1.0,8.0,1.0,2038.0,Toolbox
3230,5522,2,1.0,12.0,0.0,14459.0,Toolbox
3231,5525,2,0.0,9.0,1.0,8.0,Toolbox
3232,5527,2,0.0,9.0,1.0,23578.0,Toolbox
3233,5528,2,0.0,12.0,-1.0,8604.0,3D-Printer
3234,5529,2,0.0,12.0,-1.0,318937.0,3D-Printer
3235,5532,1,1.0,14.0,0.0,4325.0,Toolbox
3236,5534,2,1.0,8.0,1.0,522605.0,3D-Printer
3237,5535,2,1.0,12.0,0.0,36134.0,3D-Printer
3238,5537,2,1.0,12.0,0.0,23153.0,Toolbox
3239,5538,2,1.0,8.0,0.0,89332.0,Toolbox
3240,5540,1,1.0,9.0,0.0,1064290.0,3D-Printer
3241,5542,1,1.0,8.0,0.0,30401.0,Toolbox
3242,5543,2,0.0,9.0,1.0,5085.0,Other
3243,5544,2,1.0,12.0,0.0,1903.0,Lasercutter
3244,5547,2,0.0,0.0,3.0,279637.0,3D-Printer
3245,5548,1,0.0,7.0,1.0,15289.0,Other
3246,5549,2,1.0,12.0,0.0,2082.0,Toolbox
3247,5550,2,1.0,12.0,0.0,26833.0,3D-Printer
3248,5556,1,1.0,14.0,0.0,229795.0,3D-Printer
3249,5557,1,1.0,1.0,0.0,1890.0,Lasercutter
3250,5558,1,0.0,11.0,1.0,17347.0,Lasercutter
3251,5559,2,1.0,12.0,1.0,357699.0,Other
3252,5561,2,1.0,12.0,0.0,5725.0,Toolbox
3253,5562,1,1.0,14.0,1.0,136810.0,3D-Printer
3254,5566,2,1.0,9.0,0.0,122954.0,3D-Printer
3255,5568,2,0.0,0.0,3.0,72.0,Toolbox
3256,5570,2,1.0,12.0,0.0,2639.0,Other
3257,5571,1,1.0,10.0,1.0,141568.0,3D-Printer
3258,5577,2,0.0,12.0,0.0,2696.0,Lasercutter
3259,5579,2,1.0,8.0,0.0,3008.0,Other
3260,5582,2,1.0,9.0,1.0,94734.0,Toolbox
3261,5583,2,0.0,7.0,-1.0,12203.0,Lasercutter
3262,5584,2,1.0,7.0,0.0,4898.0,Lasercutter
3263,5586,2,1.0,9.0,0.0,62060.0,3D-Printer
3264,5588,2,1.0,12.0,1.0,813611.0,3D-Printer
3265,5590,2,1.0,12.0,2.0,8001.0,Dirt & Dust
3267,5593,1,1.0,11.0,0.0,3322.0,Other
3268,5594,1,0.0,11.0,0.0,1908155.0,3D-Printer
3269,5595,2,1.0,12.0,1.0,1417.0,Toolbox
3270,5596,1,0.0,7.0,0.0,356879.0,3D-Printer
3271,5598,1,0.0,14.0,1.0,4973.0,Lasercutter
3272,5599,2,0.0,9.0,1.0,803.0,Other
3273,5600,1,0.0,9.0,1.0,4235.0,Lasercutter
